COUNTRY,FREQUENCY,PRICES TYPES,INDICATOR,UNIT,DATA STATUS,DATA SOURCES,DATA CONFIDENTIALITY,NAS_SNA_SYSTEM,NAS_FISCAL_YEAR,OBS_COMMENTS,TIME_PERIOD,OBS_VALUE
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2019-Q3,125.32334462139461
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2019-Q4,139.47043215837087
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2020-Q1,127.93779359607926
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2020-Q2,140.25972414259803
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2020-Q3,139.20777628943938
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2020-Q4,143.72187116006938
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2021-Q1,163.05774211668358
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2021-Q2,170.33772253220275
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2021-Q3,176.16197102077413
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2021-Q4,192.15910305553803
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2022-Q1,159.3662598962308
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2022-Q2,176.86312195407274
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2022-Q3,191.53693025574478
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2022-Q4,210.44317206791973
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2023-Q1,180.3118853940405
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2023-Q2,186.51409790170362
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2023-Q3,196.281115856286
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2023-Q4,211.947722356807
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2024-Q1,191.7361831542322
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2024-Q2,192.58108988315598
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2024-Q3,205.46794583493624
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2024-Q4,200.16076686180654
Kuwait,Quaterly,Current prices,"01. Agriculture, hunting, forestry; fishing at current prices","United States Dollar, Million",,,,,,,2025-Q1,195.75168221228947
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2010-Q1,15730.025412224202
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2010-Q2,16032.012758826535
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2010-Q3,15352.534068846999
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2010-Q4,17390.54230257563
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2011-Q1,20898.906724866083
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2011-Q2,24411.70975208349
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2011-Q3,25378.32909678815
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2011-Q4,27131.82345240618
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2012-Q1,30149.880938136652
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2012-Q2,27707.53022156357
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2012-Q3,27836.047094754376
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2012-Q4,28103.279800181168
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2013-Q1,26589.79363985735
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2013-Q2,26609.05448550375
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2013-Q3,29002.796303563882
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2013-Q4,28459.271866452054
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2014-Q1,26847.12220115951
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2014-Q2,27439.488313911304
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2014-Q3,26458.601963659774
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2014-Q4,18397.411136934054
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2015-Q1,12698.550478652227
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2015-Q2,14710.924743603679
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2015-Q3,12287.015070276057
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2015-Q4,9789.57688631818
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2016-Q1,7596.507024002313
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2016-Q2,10905.284962124888
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2016-Q3,11374.015235187258
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2016-Q4,12587.230038181286
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2017-Q1,12541.63971400472
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2017-Q2,11793.689393474959
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2017-Q3,12094.886321904412
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2017-Q4,14285.255330138676
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2018-Q1,14823.312786627394
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2018-Q2,16583.46645289815
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2018-Q3,18001.06895736206
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2018-Q4,16319.99582548215
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2019-Q1,14880.899360589798
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2019-Q2,16466.186973243766
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2019-Q3,15141.729292502312
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2019-Q4,15707.0698127188
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2020-Q1,12640.09396869894
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2020-Q2,5548.747707292081
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2020-Q3,8976.702153693748
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2020-Q4,9292.37613944213
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2021-Q1,12628.556856101206
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2021-Q2,14514.021974151467
Kuwait,Quaterly,Current prices,02. Mining and quarrying at current prices,"United States Dollar, Million",,,,,,,2021-Q3,16392.23687508549
