Country,Country,Track,Track,Indicator,Indicator,Citizen,Citizen,Sex,Sex,Units,Frequency,Frequency,TIME_PERIOD,OBS_VALUE
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2021,1142
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2022,1509
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2023,2045
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N2,Bahraini,KN_T,Total,Number,A,Annual,2024,2700
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2000,1
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2001,1
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2002,1
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2003,1
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2004,2
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2005,2
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2006,10
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2007,4
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2008,17
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2012,17
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2013,17
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2014,17
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2015,70
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2016,77
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2017,83
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2018,92
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2019,102
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2020,476
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2021,613
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2022,783
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2023,1044
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N4,Omani,KN_T,Total,Number,A,Annual,2024,1314
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2000,2
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2001,3
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2002,3
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2003,1
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2004,6
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2005,3
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2006,4
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2007,14
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2008,36
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2012,36
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2013,36
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2014,36
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2015,175
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2016,203
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2017,227
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2018,240
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2019,249
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2020,236
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2021,339
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2022,536
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2023,870
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N5,Qatari,KN_T,Total,Number,A,Annual,2024,1394
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2000,8
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2001,9
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2002,16
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2003,8
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2004,10
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2005,8
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2006,135
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2007,79
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2008,91
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2012,91
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2013,91
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2014,91
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2015,332
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2016,352
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2017,374
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2018,403
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2019,441
SA,Kingdom of Saudi Arabia,T5,Economic Activities,KN_A14,Total No. of Licences Granted to GCC Citizens to Practice Economic Activities in other Member  States (Cumulative),KN_N6,Kuwaiti,KN_T,Total,Number,A,Annual,2020,16
