Dataflow,GCCSTAT.PSS:DF_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataflow Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure,GCCSTAT.PSS:DSD_Common_Market_Tables(1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataStructure Name,Common Market Tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency Name,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Name,Track,Track Name,Indicator,Indicator Name,Citizen,Citizen Name,Sex,Sex Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
KN_TTL,GCC,T6,Ownership of property,KN_A13,Total No. of GCC Citizens Owning Real Estate  in other Member States up to 2016 (Cumulative),KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,4815,5149,5739,6231,6579,6603,,
KN_TTL,GCC,T6,Ownership of property,KN_A13,Total No. of GCC Citizens Owning Real Estate  in other Member States up to 2016 (Cumulative),KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,8138,8723,9409,9746,9882,10070,,
KN_TTL,GCC,T6,Ownership of property,KN_A13,Total No. of GCC Citizens Owning Real Estate  in other Member States up to 2016 (Cumulative),KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,76786,83222,88692,93424,95528,96506,,
AE,United Arab Emirates,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,497,476,461,461,497,476,,
AE,United Arab Emirates,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,2171,2087,2133,2035,2014,1887,,
AE,United Arab Emirates,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N4,Omani,KN_T,Total,,,,,,,,,,,,,,,,,10178,10029,10079,8998,9258,8943,,
AE,United Arab Emirates,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N5,Qatari,KN_T,Total,,,,,,,,,,,,,,,,,111,119,135,135,116,111,,
AE,United Arab Emirates,T10,Health and Education,KN_A9,Total No. of GCC Students in General Education - Governmental Schools in other Member States - All stages of General Education,KN_N6,Kuwaiti,KN_T,Total,,,,,,,,,,,,,,,,,79,69,61,74,77,71,,
AE,United Arab Emirates,T10,Health and Education,KN_A11,Number of GCC nationals benefiting from health services in hospitals and government health centers,KN_N2,Bahraini,KN_T,Total,,,,,,,,,,,,,,,,,3719,3884,3831,8597,8597,8597,,
AE,United Arab Emirates,T10,Health and Education,KN_A11,Number of GCC nationals benefiting from health services in hospitals and government health centers,KN_N3,Saudi,KN_T,Total,,,,,,,,,,,,,,,,,9642,10110,9509,22619,22619,22619,,
